x-axis,1,2
second,Volt,Ampere
-25.000000E-06,+1.665362098254E+00,+230.116994266398E+00
-24.993490E-06,+1.524033074995E+00,+229.991368635452E+00
-24.986979E-06,+1.688915616348E+00,+230.148408840095E+00
-24.980469E-06,+1.633956569929E+00,+230.383934850026E+00
-24.973958E-06,+1.665373153708E+00,+229.983516876481E+00
-24.967448E-06,+1.838090117071E+00,+230.022812732234E+00
-24.960938E-06,+1.704632199827E+00,+230.517369148802E+00
-24.954427E-06,+1.822379689469E+00,+229.842204687662E+00
-24.947917E-06,+1.665378178914E+00,+230.038567130390E+00
-24.941406E-06,+1.790916748164E+00,+230.745078450575E+00
-24.934896E-06,+1.280679929601E+00,+230.352578443091E+00
-24.928385E-06,+1.618236343175E+00,+230.548817517009E+00
-24.921875E-06,+1.531992247747E+00,+230.415332463652E+00
-24.915365E-06,+2.105063867060E+00,+230.266211983894E+00
-24.908854E-06,+2.120662106936E+00,+230.431066384093E+00
-24.902344E-06,+1.665380942777E+00,+230.439012491309E+00
-24.895833E-06,+1.743845516571E+00,+230.839390263206E+00
-24.889323E-06,+1.610359206913E+00,+230.972806094349E+00
-24.882813E-06,+1.461248023786E+00,+230.862915891406E+00
-24.876302E-06,+1.571176795186E+00,+230.878719913471E+00
-24.869792E-06,+1.688955064215E+00,+231.224099819233E+00
-24.863281E-06,+1.806640995083E+00,+231.247644920106E+00
-24.856771E-06,+1.649619886224E+00,+231.239875951404E+00
-24.850260E-06,+1.539759960147E+00,+231.467323439940E+00
-24.843750E-06,+1.610288225877E+00,+230.996635496256E+00
-24.837240E-06,+1.320004052139E+00,+231.632286384590E+00
-24.830729E-06,+1.618333204022E+00,+231.388995551751E+00
-24.824219E-06,+1.814440366281E+00,+231.428275326846E+00
-24.817708E-06,+1.571148025881E+00,+231.514540528140E+00
-24.811198E-06,+1.586870011457E+00,+231.365485878581E+00
-24.804688E-06,+1.641829434766E+00,+231.499096059569E+00
-24.798177E-06,+1.688890113427E+00,+231.899289029513E+00
-24.791667E-06,+1.633902800224E+00,+231.789418927394E+00
-24.785156E-06,+1.531861466758E+00,+231.789443802164E+00
-24.778646E-06,+1.492819886432E+00,+231.836461138422E+00
-24.772135E-06,+1.853646019586E+00,+231.711050837557E+00
-24.765625E-06,+1.571217876246E+00,+231.977793302435E+00
-24.759115E-06,+1.704588354904E+00,+231.860084758140E+00
-24.752604E-06,+1.649639484528E+00,+231.860151593381E+00
-24.746094E-06,+1.618364234670E+00,+231.970043680777E+00
-24.739583E-06,+1.798651042944E+00,+232.024830990778E+00
-24.733073E-06,+1.500506064864E+00,+231.805127596174E+00
-24.726563E-06,+1.547691243005E+00,+231.813243304095E+00
-24.720052E-06,+1.704718130851E+00,+232.213413911872E+00
-24.713542E-06,+1.845952554606E+00,+232.213286774158E+00
-24.707031E-06,+1.846031701602E+00,+232.033094816648E+00
-24.700521E-06,+1.955651799719E+00,+232.409314915051E+00
